DEMAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Brazil,321.99852,304.48298,318.97716,336.86862,353.29366,367.88328,382.53928,404.16758,419.80854,418.53774,459.68232,475.7648,493.05156,508.82972,522.46688,512.906384,513.88606,519.883011,531.1582795,537.9698027,540.130008554239,541,543.33352241565,547.592560455719,553.66615859378,561.443361303405,570.813213058165,581.664758331633,593.88704159738,607.369107328979,622,637.668764084017,654.2644440546,671.676084385322,689.792729549755,708.50342402147,727.69721227404,747.263138781036,767.090248016031,787.067584452596,807.084192564303,827.029116824723,846.79140170743,866.260091685994,885.324231233988,903.872864824984,921.795036932552,938.979792030266,955.316174591698,970.693229090418,985
China,1178.033,1314.783,1459.429,1676.829,1955.39,2196.172,2523.947,2891.542,3070.853,3290.103,3716.55362,4182.66356,4439.87758,4846.24602,5078.71756,5273.535637,5585.625151,6057.175784,6450.426757,6802.6988964,7176.67314690574,7556,7913.6725984361,8245.48069951609,8552.9132141792,8837.45905336465,9100.60712801167,9343.8463490595,9568.66562744734,9776.55387411443,9969,10147.4929160433,10313.5215331835,10468.5747623598,10614.1415145116,10751.7107005779,10882.7712314981,11008.8120182113,11131.3219716569,11251.7900027739,11371.7050225017,11492.5559417794,11615.8316715464,11743.0211227417,11875.6132063047,12015.0968331746,12162.9609142906,12320.6943605919,12489.7860830177,12671.7249925074,12868
India,383.924,391.979982,420.808,442.127,470.993,496.732,548.192,580.237,629.04,680.088,727.51078,841.71238,891.71308,946.327616898,1041.945748669,1093.537703844,1161.543070205,1228.624117295,1312.596162646,1342.052062961,1314.20318898325,1273,1259.21355912207,1278.78193274263,1328.93493807544,1406.90239233426,1509.91411273284,1635.19991648495,1779.98962080434,1941.51304290477,2117,2303.68030930379,2498.78378802989,2699.54025339206,2903.17952260407,3106.93141287966,3308.02574143261,3503.69232547666,3691.16098222557,3867.66152889311,4030.42378269303,4176.67756083909,4303.65268054505,4408.57895902466,4488.68621349168,4541.20426115988,4563.36291924301,4552.39200495483,4505.5213355091,4419.98072811957,4293
Japan,936.235,919.667,932.99,923.699,953.059,962.937,980.61,1020.313,954.104,926.602,1032.074897,997.232672,1000.306711,979.909071,983.904336,962.442903,956.720654,965.224223,963.9000025,944.8867835,935.104929696461,934,933.18457359835,931.096812774802,927.881275586537,923.682520090734,918.645104344576,912.913586405243,906.632524329915,899.946476175774,893,885.937653859774,878.903995812276,872.043583914688,865.50097622419,859.420730797963,853.947405693188,849.225558967045,845.399748676716,842.614532879381,841.01446963222,840.744116992416,841.948033017147,844.770775763596,849.356903288942,855.850973650368,864.397544905052,875.141175110177,888.226422322922,903.79784460047,922
United States,3592.473306779,3557.247608145,3631.817305007,3662.224008893,3716.191050727,3811.346490705,3817.374049601,3890.977207741,3867.360635155,3725.345123197,3889.289875723,3886.633789006,3838.802726345,3876.510978475,3914.50680973,3914.29917567,3921.11069944,3888.30564548,4032.62826743,3989.37824873,3967.51664977352,4004,4046.4067061737,4084.67467873709,4119.33170405216,4150.90556848092,4179.92405838536,4206.91496012749,4232.4060600693,4256.92514457281,4281,4305.15841271288,4329.92816907346,4355.83705544373,4383.41285818568,4413.18336366134,4445.67635823269,4481.41962826173,4520.94096011047,4564.7681401409,4613.42895471504,4667.45119019488,4727.36263294241,4793.69106931965,4866.96428568858,4947.71006841123,5036.45620384957,5133.73047836562,5240.06067832137,5355.97459007883,5482
GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,655.454,559.982,509.798,558.232,669.29,891.633,1107.628,1397.114,1695.855,1669.204,2208.704,2614.027,2464.053,2471.718,2456.055,1800.046,1796.622,2063.519,1916.934,1873.286,1476.092,1648.699,1924.134,2081.235,2210.617,2321.85,2449.002,2587.519,2758.832,2921.03398100152,3082.55013914394,3243.28381825741,3403.13836217208,3562.01711471807,3719.82341972553,3876.46062102461,4031.83206244544,4185.84108781817,4338.39104097293,4489.38526573986,4638.72710594911,4786.31990543082,4932.06700801513,5075.87175753217,5217.6374978121,5357.26757268504,5494.66532598115,5629.73410153055,5762.37724316341,5892.49809470984,6020
China,1205.532,1333.649,1465.829,1656.962,1949.446,2290.019,2754.149,3555.655,4577.28,5088.992,6033.83,7492.212,8539.584,9624.928,10524.241,11113.508,11226.897,12265.327,13841.812,14340.6,14862.564,17759.307,18100.044,19373.586,20881.368,22407.691,24035.813,25722.406,27492.803,28779.7890470746,30060.0088539725,31328.2815800735,32579.4263847577,33808.2624274051,35009.6088673958,36178.2848641096,37309.1095769266,38396.9021652267,39436.4817883901,40422.6676057967,41350.2787768265,42214.1344608595,43009.0538172756,43729.856005455,44371.3601847775,44928.3855146233,45395.7511543722,45768.2762634044,46040.7800010997,46208.0815268383,46265
India,476.61,493.953,523.97,618.358,721.589,834.217,949.117,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2671.596,3150.307,3386.403,3736.882,4062.154,4403.354,4765.545,5153.012,5575.474,6006.19443116665,6437.79036010621,6870.34648586335,7303.94750748273,7738.67812400904,8174.62303448693,8611.86693796108,9050.49453347616,9490.59052007683,9932.23959680778,10375.5264627137,10820.5358168392,11267.3523582289,11716.0607859277,12166.74579898,12619.4920964306,13074.3843773242,13531.5073407054,13990.9456856189,14452.7841111094,14917.1073162216,15384
Japan,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5048.79,5005.537,4233.538,4409.738,4526.48,4731.496,4923.43,5077.123,5344.032,5430.4871876733,5511.66815777019,5587.69718180454,5658.6965312902,5724.78847774101,5786.09529267084,5842.73924759354,5894.84261402297,5942.52766347298,5985.91666745743,6025.13189749016,6060.29562508505,6091.53012175593,6118.95765901667,6142.70050838112,6162.88094136314,6179.62122947657,6193.04364423529,6203.27045715313,6210.42393974396,6214.62636352163,6216
United_States,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19477.35,20533.075,21380.95,21060.45,23315.075,25464.475,26854.599,27741.123,28765.96,29902.871,31091.594,32349.658,32913.0491277918,33449.6775504629,33959.5977628647,34442.864259849,34899.5315362673,35329.6540869713,35733.2864068126,36110.4829906427,36461.2983333134,36785.7869296761,37084.0032745826,37356.0018628844,37601.8371894331,37821.5637490804,38015.2360366778,38182.9085470771,38324.6357751297,38440.4722156873,38530.4723636015,38594.690713724,38633.1817609063,38646
Renewable share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
